Altium Designer Pick and Place Locations
C:\GitHub\USBGPIB\PCB Project\.\Production\Pick Place for USB-GPIB.csv

========================================================================================================================
File Design Information:

Date:       02/07/25
Time:       09:37
Revision:   bf0e2436367e481e2e2f581d37fa4146e3f99a4e
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C16","CAP0805","TopLayer","CAPC0805","1553.150","-800.197","270","CAPACITOR,CERAMIC,10uF,25V,X5R,0805"
"C15","CAP0603","TopLayer","CAPC0603","389.764","-581.693","180","CAPACITOR,CERAMIC,100nF,50V,X7R,0603"
"R13","RESC0805","TopLayer","RESC0805","720.472","-961.614","0","RESISTOR,0R,JUMPER"
"C12","CAP0603","TopLayer","CAPC0603","330.709","-940.945","0","CAPACITOR,CERAMIC,100nF,50V,X7R,0603"
"R12","RESC0603","TopLayer","RESC0603","164.370","-752.953","90","RESISTOR,27R,1%,100mW,0603 (1608)"
"R11","RESC0603","TopLayer","RESC0603","217.520","-752.953","90","RESISTOR,27R,1%,100mW,0603 (1608)"
"R10","RESC0603","TopLayer","RESC0603","783.465","-638.779","0","RESISTOR,1K,1%,100mW,0603 (1608)"
"R3","RESC0603","TopLayer","RESC0603","783.465","-753.937","180","RESISTOR,10K,1%,100mW,0603 (1608)"
"Q1","SI3443","TopLayer","SOT23-6","783.465","-852.362","180","XSTR,PMOS,20V,5.97A,VISHAY,SI3443,SOT26"
"D5","TVS-WURTH-824011","TopLayer","SOT23-5","190.945","-929.134","0","DIODE,TVS,DUAL,UNIDIRECTIONAL,USB"
"C6","CAP0603","TopLayer","CAPC0603","783.465","-696.850","0","CAPACITOR,CERAMIC,100nF,50V,X7R,0603"
"C10","CAP0603","TopLayer","CAPC0603","628.937","-469.488","180","CAPACITOR,CERAMIC,100nF,50V,X7R,0603"
"R2","RESC0603","TopLayer","RESC0603","-44.291","-977.362","0","RESISTOR,4K7,1%,100mW,0603 (1608)"
"C13","CAP0805","TopLayer","CAPC0805","589.567","-1124.016","270","CAPACITOR,CERAMIC,10uF,25V,X5R,0805"
"C11","CAP0805","TopLayer","CAPC0805","-68.213","-879.561","0","CAPACITOR,CERAMIC,10nF,200V,X7R,0805,ESD"
